15.28 ,43.98 
13.82 ,22.83 
21.30 ,34.16 
17.51 ,29.64 
14.65 ,17.06 
20.96 ,29.72 
18.69 ,10.87 
21.45 ,30.00 
16.22 ,16.50 
12.64 ,9.54 
14.28 ,8.13 
35.41 ,38.76 
14.34 ,7.89 
21.02 ,18.06 
14.10 ,1.79 
13.45 ,8.78 
15.91 ,13.26 
12.83 ,1.40 
16.07 ,9.13 
17.68 ,13.47 
15.47 ,7.85 
50.68 ,54.42 
13.73 ,10.66 
15.82 ,12.97 
13.91 ,7.71 
47.36 ,56.60 
32.07 ,33.75 
27.39 ,17.62 
32.94 ,36.73 
55.51 ,60.37 
13.13 ,-3.05 
16.47 ,14.99 
23.12 ,30.34 
14.73 ,4.62 
20.53 ,16.36 
19.83 ,11.41 
20.24 ,10.29 
14.02 ,8.48 
32.09 ,25.29 
15.88 ,13.74 
13.52 ,1.39 
17.21 ,9.78 
29.27 ,13.46 
14.43 ,6.10 
19.56 ,16.83 
17.73 ,2.62 
12.68 ,12.83 
14.50 ,4.61 
29.25 ,20.01 
13.85 ,2.54 
18.85 ,16.88 
13.27 ,4.60 
18.56 ,10.72 
19.01 ,12.50 
15.83 ,3.56 
15.90 ,-3.55 
15.69 ,6.19 
14.10 ,11.51 
23.28 ,9.91 
23.63 ,13.54 
22.06 ,12.92 
12.95 ,-1.86 
53.20 ,44.82 
37.27 ,30.14 
47.40 ,42.64 
18.05 ,12.21 
20.74 ,14.36 
25.59 ,19.44 
13.75 ,2.54 
50.85 ,52.48 
25.34 ,16.70 
18.34 ,10.06 
15.02 ,3.20 
18.06 ,8.35 
12.57 ,-6.70 
16.37 ,0.74 
18.85 ,9.71 
12.59 ,14.25 
25.69 ,16.88 
12.77 ,5.14 
14.32 ,1.20 
12.97 ,0.51 
15.89 ,1.70 
24.42 ,18.86 
16.29 ,13.36 
21.29 ,10.60 
22.95 ,17.00 
15.01 ,2.32 
13.80 ,0.38 
12.65 ,7.05 
14.27 ,4.61 
19.09 ,10.74 
14.68 ,18.01 
13.26 ,4.97 
20.73 ,0.36 
33.49 ,22.64 
13.59 ,1.54 
11.75 ,33.83 
10.63 ,17.56 
16.38 ,26.27 
13.47 ,22.80 
11.27 ,13.12 
16.12 ,22.86 
14.38 ,8.36 
16.50 ,23.08 
12.47 ,12.69 
9.72 ,7.34 
10.98 ,6.25 
27.24 ,29.82 
11.03 ,6.07 
16.17 ,13.90 
10.85 ,1.38 
10.35 ,6.76 
12.24 ,10.20 
9.87 ,1.08 
12.36 ,7.02 
13.60 ,10.36 
11.90 ,6.04 
38.98 ,41.86 
10.56 ,8.20 
12.17 ,9.98 
10.70 ,5.93 
36.43 ,43.53 
24.67 ,25.96 
21.07 ,13.55 
25.34 ,28.25 
42.70 ,46.44 
10.10 ,-2.35 
12.67 ,11.53 
17.79 ,23.33 
11.33 ,3.56 
15.79 ,12.58 
15.26 ,8.77 
15.57 ,7.92 
10.78 ,6.52 
24.68 ,19.46 
12.22 ,10.57 
10.40 ,1.07 
13.24 ,7.52 
22.52 ,10.36 
11.10 ,4.69 
15.05 ,12.95 
13.64 ,2.01 
9.75 ,9.87 
11.16 ,3.55 
22.50 ,15.39 
10.66 ,1.96 
14.50 ,12.98 
10.21 ,3.54 
14.28 ,8.25 
14.62 ,9.61 
12.18 ,2.74 
12.23 ,-2.73 
12.07 ,4.76 
10.85 ,8.85 
17.90 ,7.62 
18.18 ,10.41 
16.97 ,9.94 
9.96 ,-1.43 
40.92 ,34.48 
28.67 ,23.18 
36.46 ,32.80 
13.88 ,9.39 
15.95 ,11.05 
19.68 ,14.95 
